"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage"
"Smoke Screen","[{'key': 'abilityduration', 'header': 'DURATION:', 'value': '6', 'generated': True}, {'key': 'radius', 'header': 'RADIUS:', 'value': '425'}, {'key': 'miss_rate', 'header': 'MISS RATE:', 'value': ['30%', '45%', '60%', '75%']}, {'key': 'block_targeting', 'header': 'BLOCK TARGETING:', 'value': '0', 'generated': True}, {'key': 'armor_reduction', 'header': 'ARMOR REDUCTION:', 'value': '0', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '550', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/riki_smoke_screen.png","['AOE', 'Point Target']","","['65', '70', '75', '80']","Throws down a smoke bomb, silencing enemies, and causing them to miss attacks.","['20', '17', '14', '11']","","","No","No","Since his escape during the night of his betrayal, Riki has valued the use of a simple smoke screen to confuse his opponents.",""
"Snowball","[{'key': 'snowball_damage', 'header': 'BASE DAMAGE:', 'value': ['80', '140', '200', '260']}, {'key': 'snowball_speed', 'header': 'SNOWBALL SPEED:', 'value': ['575', '600', '625', '650']}, {'key': 'snowball_damage_bonus', 'header': 'BONUS DAMAGE PER ALLY:', 'value': ['40', '65', '90', '115']}, {'key': 'stun_duration', 'header': 'STUN DURATION:', 'value': ['0.6', '0.8', '1', '1.2']}, {'key': 'snowball_windup_radius', 'header': 'SNOWBALL WINDUP RADIUS:', 'value': '100', 'generated': True}, {'key': 'snowball_duration', 'header': 'SNOWBALL DURATION:', 'value': '3', 'generated': True}, {'key': 'snowball_radius', 'header': 'SNOWBALL RADIUS:', 'value': '200', 'generated': True}, {'key': 'snowball_grow_rate', 'header': 'SNOWBALL GROW RATE:', 'value': '40', 'generated': True}, {'key': 'snowball_windup', 'header': 'LAUNCH TIME:', 'value': '3'}, {'key': 'snowball_grab_radius', 'header': 'GATHER RADIUS:', 'value': '350'}, {'key': 'snowball_speed_bonus', 'header': 'SNOWBALL SPEED BONUS:', 'value': '50', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1150', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.1', 'generated': True}]","/apps/dota2/images/dota_react/abilities/tusk_snowball.png","Unit Target","Enemy","75","Tusk begins rolling into a snowball. Allies within a 350 radius can also be added to the snowball by right-clicking on them, even while the snowball is moving. Once launched, any enemies caught in the snowball's path will be stunned and take damage. Each allied Hero in the snowball will add to its damage.","['21', '19', '17', '15']","Magical","['Hero', 'Basic']","No","No","Tales are still told of the wild feat that ended the grand brawl at White Fields.",""
"Solar Bind","[{'key': 'duration', 'header': 'DURATION:', 'value': '6'}, {'key': 'slow', 'header': 'SLOW PER 100 UNITS:', 'value': '10%'}, {'key': 'magic_resistance', 'header': 'MAGIC RESISTANCE REDUCTION:', 'value': '35%'}, {'key': 'stun_duration', 'header': 'STUN DURATION:', 'value': '0', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '850'}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/keeper_of_the_light_radiant_bind.png","['Unit Target', 'Hidden']","Enemy","120","Weakens an enemy's magical resistance, and applies a slow that increases in strength the more the target moves.","14","","['Hero', 'Basic']","Yes","No","",""
"Solar Guardian","[{'key': 'airtime_duration', 'header': 'AIRTIME DURATION:', 'value': '0.8', 'generated': True}, {'key': 'radius', 'header': 'LAND RADIUS:', 'value': '500'}, {'key': 'base_damage', 'header': 'DAMAGE PER PULSE:', 'value': ['30', '50', '70']}, {'key': 'base_heal', 'header': 'HEAL PER PULSE:', 'value': ['45', '70', '95']}, {'key': 'pulse_interval', 'header': 'PULSE INTERVAL:', 'value': '0.5', 'generated': True}, {'key': 'land_damage', 'header': 'LANDING DAMAGE:', 'value': ['130', '160', '190']}, {'key': 'land_stun_duration', 'header': 'LANDING STUN DURATION:', 'value': ['1.4', '1.6', '1.8']}, {'key': 'max_offset_distance', 'header': 'MAX OFFSET DISTANCE:', 'value': '350', 'generated': True}, {'key': 'scepter_channel_time', 'header': 'CHANNEL TIME:', 'value': '1'}, {'key': 'airtime_scepter_bonus', 'header': 'BONUS AIR TIME:', 'value': '3.5'}, {'key': 'miss_rate', 'header': 'EVASION:', 'value': '60%'}, {'key': 'airtime_scepter_movement_speed', 'header': 'AIRTIME SCEPTER MOVEMENT SPEED:', 'value': '200', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '0', 'generated': True}, {'key': 'abilitychanneltime', 'header': 'CHANNEL TIME:', 'value': '1.7', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.1', 'generated': True}]","/apps/dota2/images/dota_react/abilities/dawnbreaker_solar_guardian.png","['Point Target', 'Channeled']","Friendly","['150', '200', '250']","CHANNELED - Dawnbreaker creates a pulsing effect at a location within 350 units of an allied hero anywhere on the map, damaging enemies and healing allies with each pulse. After a short duration, she flies to the target location, dealing additional damage and stunning enemies upon landing. Once channeled, Dawnbreaker cannot stop the ability.","['120', '105', '90']","Magical","Hero","","Yes","Only in defense of an ally will Valora relent to call upon the last reserves of her old powers that still allow cosmic flight.",""
"Song of the Siren","[{'key': 'radius', 'header': 'RADIUS:', 'value': ['1000', '1200', '1400']}, {'key': 'duration', 'header': 'DURATION:', 'value': '7'}, {'key': 'animation_rate', 'header': 'ANIMATION RATE:', 'value': '0.55', 'generated': True}, {'key': 'heal_pct', 'header': 'HEAL PCT:', 'value': '0', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': ['1000', '1200', '1400'], 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '1', 'generated': True}]","/apps/dota2/images/dota_react/abilities/naga_siren_song_of_the_siren.png","No Target","","['150', '175', '200']","All enemies in range of the Naga Siren are put into a magical stasis where they cannot act or be attacked. Using Song of the Siren again will end the duration early.","['180', '130', '80']","","","No","No","Slithice's powerful voice enchants leagues of opponents, while calling her Slithereen kin in a time of need.",""
"Song of the Siren End","[]","/apps/dota2/images/dota_react/abilities/naga_siren_song_of_the_siren_cancel.png","['Hidden', 'No Target']","","","Release enemy units from your song so they can be targeted again.","1","","","","","",""
"Song of the Siren heals allies 7% Max HP/s","","","","","","","","","","","","",""
"Sonic Wave","[{'key': 'starting_aoe', 'header': 'STARTING AOE:', 'value': '100', 'generated': True}, {'key': 'distance', 'header': 'DISTANCE:', 'value': '900', 'generated': True}, {'key': 'final_aoe', 'header': 'FINAL AOE:', 'value': '450', 'generated': True}, {'key': 'speed', 'header': 'SPEED:', 'value': '1100', 'generated': True}, {'key': 'damage', 'header': 'DAMAGE:', 'value': ['290', '390', '490', '590', '690', '790', '890', '990', '1090', '1190'], 'generated': True}]","/apps/dota2/images/dota_react/abilities/cny2015_sonic_wave.png","Point Target","","250","","135","Pure","","","Yes","",""
"Sonic Wave","[{'key': 'starting_aoe', 'header': 'STARTING AOE:', 'value': '100', 'generated': True}, {'key': 'distance', 'header': 'DISTANCE:', 'value': '900', 'generated': True}, {'key': 'final_aoe', 'header': 'WAVE MAX RADIUS:', 'value': '450'}, {'key': 'speed', 'header': 'SPEED:', 'value': '900', 'generated': True}, {'key': 'damage', 'header': 'DAMAGE:', 'value': ['350', '500', '650']}, {'key': 'tick_rate', 'header': 'TICK RATE:', 'value': '0.1', 'generated': True}, {'key': 'knockback_distance', 'header': 'KNOCKBACK DISTANCE:', 'value': '350'}, {'key': 'knockback_duration', 'header': 'KNOCKBACK DURATION:', 'value': '1.4', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '700', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.452', 'generated': True}]","/apps/dota2/images/dota_react/abilities/queenofpain_sonic_wave.png","Point Target","","['250', '400', '550']","Creates a gigantic wave of sound in front of Queen of Pain, dealing heavy damage to all enemy units in its wake and pushing them back.","['110', '95', '80']","Pure","","","Yes","Her most exquisite of all of torments, Akasha's Sonic Wave puts her poor foes out of their misery.",""
"Sonic Wave 1.5s Fear","","","","","","","","","","","","",""
"Soul Assumption","[{'key': 'bolt_speed', 'header': 'BOLT SPEED:', 'value': '1000', 'generated': True}, {'key': 'soul_base_damage', 'header': 'BASE DAMAGE:', 'value': '20'}, {'key': 'soul_charge_damage', 'header': 'DAMAGE PER CHARGE:', 'value': '70'}, {'key': 'stack_limit', 'header': 'MAX CHARGES:', 'value': ['3', '4', '5', '6']}, {'key': 'stack_duration', 'header': 'CHARGE DURATION:', 'value': '6'}, {'key': 'damage_limit', 'header': 'GATHER DAMAGE THRESHOLD:', 'value': '100'}, {'key': 'radius', 'header': 'GATHER DAMAGE RADIUS:', 'value': '1800'}, {'key': 'damage_min', 'header': 'DAMAGE MIN:', 'value': '2', 'generated': True}, {'key': 'damage_max', 'header': 'DAMAGE MAX:', 'value': '3000', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1000', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/visage_soul_assumption.png","Unit Target","Enemy","110","Visage gathers charges of soul essence each time nearby heroes take more than 100 damage. When the essence is released, it deals base damage as well as damage for each gathered soul charge.","4","Magical","['Hero', 'Basic']","","No","The collected souls of the dead reach out to bring another into their fold.",""
"Soul Assumption Hits 3 Targets","","","","","","","","","","","","",""
"Soul Catcher","[{'key': 'health_lost', 'header': 'CURRENT HEALTH LOST:', 'value': ['20%', '25%', '30%', '35%']}, {'key': 'radius', 'header': 'RADIUS:', 'value': ['175', '200', '225', '250']}, {'key': 'duration', 'header': 'DURATION:', 'value': '10'}, {'key': 'illusion_outgoing_damage', 'header': 'ILLUSION OUTGOING DAMAGE:', 'value': ['-70', '-55', '-40', '-25'], 'generated': True}, {'key': 'illusion_outgoing_damage_tooltip', 'header': 'ILLUSION OUTGOING DAMAGE TOOLTIP:', 'value': ['30', '45', '60', '75'], 'generated': True}, {'key': 'illusion_incoming_damage', 'header': 'ILLUSION INCOMING DAMAGE:', 'value': '100', 'generated': True}, {'key': 'illusion_incoming_damage_tooltip', 'header': 'ILLUSION INCOMING DAMAGE TOOLTIP:', 'value': '200', 'generated': True}, {'key': 'bonus_spell_amp', 'header': 'SPELL AMPLIFICATION PER HERO:', 'value': ['5', '7', '9', '11']}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '700', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/shadow_demon_soul_catcher.png","['AOE', 'Point Target']","","['80', '100', '120', '140']","Captures the soul of enemy units in an area, causing them to lose a percentage of their current health. Shadow Demon temporarily gains Spell Amplification for each hero's soul captured. When the debuff is removed, the units gain half of the lost health back. Units under the effect of Disruption can still be affected by Soul Catcher.","['26', '24', '22', '20']","Pure","","Yes","No","Trying to resist the Shadow Demon's corruption is mostly a useless endeavor.",""
"Soul Catcher Creates 2 Illusion On Death","","","","","","","","","","","","",""
"Soul Rip","[{'key': 'damage_per_unit', 'header': 'DAMAGE/HEAL PER UNIT:', 'value': ['15', '25', '35', '45']}, {'key': 'max_units', 'header': 'MAX UNITS:', 'value': '10'}, {'key': 'radius', 'header': 'RIP RADIUS:', 'value': '1300'}, {'key': 'tombstone_heal', 'header': 'TOMBSTONE HEAL:', 'value': ['4', '8', '12', '16']}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '750', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/undying_soul_rip.png","Unit Target","[]","100","Undying rips health away from all nearby units and uses it to heal an ally, or damage an enemy. Soul Rip can also be used to heal Tombstone.","['18', '14', '10', '6']","Magical","[]","","No","Even allies feel despair in Undying's presence.",""
"Soulbind","[{'key': 'chain_duration', 'header': 'DURATION:', 'value': ['6', '7', '8']}, {'key': 'chain_latch_radius', 'header': 'BIND RADIUS:', 'value': '600'}, {'key': 'chain_break_distance', 'header': 'CHAIN BREAK DISTANCE:', 'value': '700', 'generated': True}, {'key': 'leash_limit_multiplier', 'header': 'LEASH LIMIT MULTIPLIER:', 'value': '1.3', 'generated': True}, {'key': 'leash_radius_buffer', 'header': 'LEASH RADIUS BUFFER:', 'value': '50', 'generated': True}, {'key': 'creep_duration_pct', 'header': 'CREEP DURATION PCT:', 'value': '50', 'generated': True}, {'key': 'bonus_reflected_spell_damage', 'header': 'BONUS REFLECTED SPELL DAMAGE:', 'value': '0', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': ['700', '800', '900']}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.15', 'generated': True}]","/apps/dota2/images/dota_react/abilities/grimstroke_soul_chain.png","['Unit Target', 'AOE']","Enemy","['150', '200', '250']","Binds a targeted enemy hero to its nearest allied hero within the bind radius, preventing both from moving away from each other. Any unit-targeted ability that either bound hero receives also gets cast on the other hero. If the bind is broken before the duration expires, the initial target will be bound to its nearest allied hero in the radius.","['70', '65', '60']","","Hero","No","Yes","The Ascended were chosen sons of Ashkavor, granted immense power by the bonds forged between their own souls and those they were charged with protecting. In the years that followed the ruination of his kin, Grimstroke discovered much more sinister applications for the binding rituals...",""
"Spark Wraith","[{'key': 'radius', 'header': 'SEARCH RADIUS:', 'value': '375'}, {'key': 'spark_damage_base', 'header': 'DAMAGE:', 'value': ['100', '180', '260', '340']}, {'key': 'base_activation_delay', 'header': 'ACTIVATION DELAY:', 'value': '2'}, {'key': 'wraith_speed_base', 'header': 'WRAITH SPEED:', 'value': '400'}, {'key': 'duration', 'header': 'DURATION:', 'value': '45'}, {'key': 'spark_damage_tempest', 'header': 'TEMPEST DAMAGE:', 'value': ['75', '140', '205', '270']}, {'key': 'tempest_activation_delay', 'header': 'TEMPEST ACTIVATION DELAY:', 'value': '1'}, {'key': 'wraith_speed_tempest', 'header': 'TEMPEST WRAITH SPEED:', 'value': '725'}, {'key': 'think_interval', 'header': 'THINK INTERVAL:', 'value': '0.2', 'generated': True}, {'key': 'wraith_vision_radius', 'header': 'WRAITH VISION RADIUS:', 'value': '300', 'generated': True}, {'key': 'wraith_vision_duration', 'header': 'WRAITH VISION DURATION:', 'value': '3.34', 'generated': True}, {'key': 'ministun_duration', 'header': 'SLOW DURATION:', 'value': ['0.4', '0.5', '0.6', '0.7']}, {'key': 'ministun_duration_tempest', 'header': 'TEMPEST SLOW DURATION:', 'value': ['0.6', '0.8', '1', '1.2']}, {'key': 'move_speed_slow_pct', 'header': 'MOVEMENT SLOW:', 'value': '100%'}, {'key': 'scepter_activation_delay', 'header': 'SCEPTER ACTIVATION DELAY:', 'value': '2', 'generated': True}, {'key': 'scepter_duration', 'header': 'SCEPTER DURATION:', 'value': '15', 'generated': True}, {'key': 'scepter_radius', 'header': 'SCEPTER RADIUS:', 'value': '225', 'generated': True}, {'key': 'creep_damage_bonus_pct', 'header': 'CREEP DAMAGE BONUS PCT:', 'value': '40', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '2000', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/arc_warden_spark_wraith.png","['Point Target', 'AOE']","","80","Arc Warden: Summons a Spark Wraith that slowly materializes and patrols a targeted area until an enemy comes within its range. Once a target has been found the wraith fuses with them, dealing magical damage and slowing the unit. Non-hero units receive 40% more damage. 

Tempest Double:  Increased Wraith Speed and slow duration, decreased Activation Delay and Damage.","4","Magical","","","No","Lesser fragments of Zet's original self.",""
"Spawn Spiderite","[{'key': 'spiderite_duration', 'header': 'LIFETIME:', 'value': '40'}, {'key': 'buff_duration', 'header': 'DEBUFF DURATION:', 'value': '2'}]","/apps/dota2/images/dota_react/abilities/broodmother_spawn_spiderite.png","Passive","","","Applies debuff on attack. If debuffed unit dies, a spiderite will spawn.","","","","Yes","","",""
"Spawn Spiderlings","[{'key': 'buff_duration', 'header': 'BUFF DURATION:', 'value': '20', 'generated': True}, {'key': 'spiderling_duration', 'header': 'LIFETIME:', 'value': '40'}, {'key': 'damage', 'header': 'DAMAGE:', 'value': ['220', '320', '420']}, {'key': 'damage_bonus', 'header': 'DAMAGE BONUS:', 'value': ['0', '3', '6'], 'generated': True}, {'key': 'hp_bonus', 'header': 'HP BONUS:', 'value': '0', 'generated': True}, {'key': 'count', 'header': 'COUNT:', 'value': ['4', '5', '6']}, {'key': 'projectile_speed', 'header': 'PROJECTILE SPEED:', 'value': '1200', 'generated': True}, {'key': 'tooltip_spiderling_hp', 'header': 'SPIDERLINGS HP:', 'value': '320'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '900', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/broodmother_spawn_spiderlings.png","Unit Target","Enemy","100","Broodmother injects her young into an enemy unit, dealing damage. The spiderlings will hatch if the target is killed while under this influence.","['9', '8', '7']","Magical","['Hero', 'Basic']","Yes","No","Black Arachnia continues to raise her young, even amidst the field of combat.  The brood quickly learns how to support their mother.",""
"Spear of Mars","[{'key': 'damage', 'header': 'DAMAGE:', 'value': ['100', '175', '250', '325']}, {'key': 'spear_speed', 'header': 'SPEAR SPEED:', 'value': '1400', 'generated': True}, {'key': 'spear_width', 'header': 'SPEAR WIDTH:', 'value': '125', 'generated': True}, {'key': 'spear_vision', 'header': 'SPEAR VISION:', 'value': '300', 'generated': True}, {'key': 'spear_range', 'header': 'CAST RANGE:', 'value': ['900', '1000', '1100', '1200']}, {'key': 'activity_duration', 'header': 'ACTIVITY DURATION:', 'value': '1.7', 'generated': True}, {'key': 'stun_duration', 'header': 'STUN DURATION:', 'value': ['1.3', '1.6', '1.9', '2.2']}, {'key': 'knockback_duration', 'header': 'KNOCKBACK DURATION:', 'value': '0.25', 'generated': True}, {'key': 'knockback_distance', 'header': 'KNOCKBACK DISTANCE:', 'value': '75', 'generated': True}, {'key': 'shard_trail_duration', 'header': 'TRAIL DURATION:', 'value': '10'}, {'key': 'shard_trail_radius', 'header': 'TRAIL RADIUS:', 'value': '200'}, {'key': 'shard_dps', 'header': 'DAMAGE PER SECOND:', 'value': '40'}, {'key': 'shard_move_slow_pct', 'header': 'MOVEMENT SLOW:', 'value': '20%'}, {'key': 'shard_debuff_linger_duration', 'header': 'DEBUFF LINGER DURATION:', 'value': '2'}, {'key': 'shard_interval', 'header': 'SHARD INTERVAL:', 'value': '0.5', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.25', 'generated': True}]","/apps/dota2/images/dota_react/abilities/mars_spear.png","Point Target","Enemy","['100', '110', '120', '130']","Mars throws his legendary Spear with deadly precision, damaging each enemy unit it strikes. The first enemy hero it hits is skewered on the spear, pushing it back. If a skewered hero hits a tree, building, or cliff, they will be impaled to it and stunned.","['14', '13', '12', '11']","Magical","['Hero', 'Basic']","[]","No","The legendary Spear of Mars still glows with the heat of the forge god's fires.",""
"Spectral Dagger","[{'key': 'damage', 'header': 'DAMAGE:', 'value': ['70', '120', '170', '220']}, {'key': 'bonus_movespeed', 'header': 'MOVEMENT SPEED CHANGE:', 'value': ['10%', '14%', '18%', '22%']}, {'key': 'dagger_path_duration', 'header': 'DAGGER PATH DURATION:', 'value': '12', 'generated': True}, {'key': 'hero_path_duration', 'header': 'DURATION:', 'value': '7'}, {'key': 'buff_persistence', 'header': 'BUFF PERSISTENCE:', 'value': '4', 'generated': True}, {'key': 'dagger_radius', 'header': 'DAGGER RADIUS:', 'value': '125', 'generated': True}, {'key': 'path_radius', 'header': 'PATH RADIUS:', 'value': '175', 'generated': True}, {'key': 'vision_radius', 'header': 'VISION RADIUS:', 'value': '200', 'generated': True}, {'key': 'speed', 'header': 'SPEED:', 'value': '800', 'generated': True}, {'key': 'dagger_grace_period', 'header': 'DAGGER GRACE PERIOD:', 'value': '1', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1800', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.3', 'generated': True}]","/apps/dota2/images/dota_react/abilities/spectre_spectral_dagger.png","['Point Target', 'Unit Target']","Enemy","['130', '140', '150', '160']","Spectre flings a dagger to draw a Shadow Path, dealing damage and slowing the movement speed of any enemies along the trail. Units hit by the dagger also trail a Shadow Path. While treading the path, Spectre phases through otherwise impassable terrain. Spectral Dagger applies an instance of Desolate to targets with no allied units within 400 radius of them.","['22', '20', '18', '16']","Magical","Hero","Yes","","Mercurial's dagger eclipses the physical plane in shadow, a state in which mortals cower, but spectres thrive.",""
"Speed Aura","[{'key': 'bonus_movement_speed', 'header': 'MOVE SPEED:', 'value': ['12%', '13%', '14%', '16%']}, {'key': 'radius', 'header': 'RADIUS:', 'value': '1200'}]","/apps/dota2/images/dota_react/abilities/kobold_taskmaster_speed_aura.png","Passive","","","The Kobold Foreman's cruel efficiency increases his movement speed and the movement speed of all nearby allies.","","","","","","",""
"Speed Burst","[{'key': 'duration', 'header': 'DURATION:', 'value': '6', 'generated': True}, {'key': 'movement_speed', 'header': 'BURST MOVE SPEED:', 'value': '50%'}]","/apps/dota2/images/dota_react/abilities/courier_burst.png","['No Target', 'Instant Cast']","","","The courier gains a burst of speed for 6 seconds","120","","","","","",""
"Spell Block","[]","/apps/dota2/images/dota_react/abilities/roshan_spell_block.png","Passive","","","","15","","","","","",""
"Spell Immunity","[]","/apps/dota2/images/dota_react/abilities/neutral_spell_immunity.png","Passive","","","This creature does not feel the effects of most magical spells.","","","","","","",""
"Spell Shield","[{'key': 'spell_shield_resistance', 'header': 'RESISTANCE:', 'value': ['20%', '30%', '40%', '50%']}, {'key': 'scepter_cooldown', 'header': 'SCEPTER COOLDOWN:', 'value': '12', 'generated': True}]","/apps/dota2/images/dota_react/abilities/antimage_spell_shield.png","Passive","","","Increases Anti-Mage's resistance to magic damage.","","","","","","Years of meditation and obsession with revenge have hardened Anti-Mage's skin against mystical opponents.",""
"Spell Steal","[{'key': 'duration', 'header': 'DURATION:', 'value': ['180', '240', '300']}, {'key': 'projectile_speed', 'header': 'PROJECTILE SPEED:', 'value': '1500', 'generated': True}, {'key': 'cast_range_scepter', 'header': 'CAST RANGE:', 'value': '1400'}, {'key': 'stolen_debuff_amp', 'header': 'STOLEN DEBUFF AMP:', 'value': ['10%', '20%', '30%']}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1000', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.1', 'generated': True}]","/apps/dota2/images/dota_react/abilities/rubick_spell_steal.png","Unit Target","Enemy","25","Rubick studies the trace magical essence of one enemy hero, learning the secrets of the last spell the hero cast. Rubick can use this spell as his own for several minutes or until he dies, and stolen spells last longer on enemies.","['16', '10', '4']","","Hero","No","Yes","...but even their lesser magics can be a source of much utility.",""
"Spells deal {s:bonus_bonus_spell_damage} more damage for each Fiery Soul Charge.","","","","","","","","","","","","",""
"Spiked Carapace","[{'key': 'reflect_duration', 'header': 'REFLECT DURATION:', 'value': '2'}, {'key': 'stun_duration', 'header': 'STUN DURATION:', 'value': ['0.4', '0.8', '1.2', '1.6']}, {'key': 'damage_reflect_pct', 'header': 'DAMAGE REFLECTED:', 'value': '125%'}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0', 'generated': True}]","/apps/dota2/images/dota_react/abilities/nyx_assassin_spiked_carapace.png","['No Target', 'Instant Cast']","","40","When activated while above ground, Spiked Carapace reflects and negates damage dealt to Nyx Assassin (max once from each source), as well as stunning the source of the damage. Activating Spiked Carapace will not break Vendetta invisibility.

While Burrowed, Spiked Carapace instantly stuns nearby enemies when cast.","['23', '18', '13', '8']","","","No","No","While their carapace is relatively thin, it's guarded by a retractable field of razor-sharp spikes.",""
"Spin Web","[{'key': 'radius', 'header': 'RADIUS:', 'value': '1200', 'generated': True}, {'key': 'count', 'header': 'MAX SIMULTANEOUS WEBS:', 'value': ['3', '5', '7', '9']}, {'key': 'health_regen', 'header': 'HEALTH REGEN:', 'value': ['2', '5', '8', '11']}, {'key': 'bonus_movespeed', 'header': 'MAX MOVESPEED BONUS:', 'value': ['10%', '22%', '34%', '46%']}, {'key': 'abilitychargerestoretime', 'header': 'CHARGE RESTORE TIME:', 'value': '27', 'generated': True}, {'key': 'bonus_turn_rate', 'header': 'BONUS TURN RATE:', 'value': '0.2'}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '1000', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.4', 'generated': True}, {'key': 'max_charges', 'header': 'MAX WEB CHARGES:', 'value': ['4', '6', '8', '10']}]","/apps/dota2/images/dota_react/abilities/broodmother_spin_web.png","['Point Target', 'AOE']","","40","Spins a large web that grants Broodmother a passive movement speed increase, increases her Turn Rate, and boosts regeneration while in its vicinity, as well as giving free movement. Spin Web charges restore every 27 seconds, with a max of 4 charges. Spin Web can be cast from anywhere as long as the new web touches an existing web. Webs never expire, and can be manually destroyed. When the maximum limit of webs is exceeded, the oldest web disappears. The movement bonus is proportional to the unit's HP","0","","","No","","Weaving a bed of silken fibers, Arachnia's web both protects her and her offspring, as well as giving advancing opponents a sense of foreboding.",""
"Spinner's Snare","[{'key': 'formation_delay', 'header': 'FORMATION DELAY:', 'value': '2'}, {'key': 'root_duration', 'header': 'ROOT DURATION:', 'value': '3'}, {'key': 'damage_per_second', 'header': 'DAMAGE PER SECOND:', 'value': '100'}, {'key': 'count', 'header': 'COUNT:', 'value': '5', 'generated': True}, {'key': 'width', 'header': 'WEB LINE WIDTH:', 'value': '900'}]","/apps/dota2/images/dota_react/abilities/broodmother_sticky_snare.png","['Point Target', 'Hidden', 'Channeled']","Enemy","100","","","Magical","['Hero', 'Basic']","Yes","No","The slightest tremor of her web is all Arachnia needs to find her prey.",""
"Spirit Form","[{'key': 'duration', 'header': 'DURATION:', 'value': '40'}, {'key': 'movement_speed', 'header': 'MOVEMENT SPEED:', 'value': ['15%', '20%', '25%']}, {'key': 'cast_range', 'header': 'CAST RANGE BONUS:', 'value': ['125', '250', '375']}, {'key': 'illuminate_heal', 'header': 'ILLUMINATE HEAL:', 'value': ['50%', '60%', '70%']}]","/apps/dota2/images/dota_react/abilities/keeper_of_the_light_spirit_form.png","No Target","","['75', '125', '175']","Ezalor temporarily turns his body luminescent, gaining bonus movement speed, cast range, grants the Solar Bind ability, and allows Illuminate to be channeled by a separate spirit and heal allies.","85","","","No","","In a flash of light, Ezalor reveals his true nature.",""
